pyr_111121_curated
Summary,raw,quality,coverage,Comprehensive
16495_CRYPTO_sum.txt,4,0.15384615384615385,0.13513513513513511,0.14449064449064447
33077_CRYPTO_sum.txt,5,0.15625,0.16891891891891891,0.16258445945945946
33342_CRYPTO_sum.txt,5,0.19230769230769232,0.16891891891891891,0.18061330561330563
37512_CRYPTO_sum.txt,15,0.39473684210526316,0.5067567567567567,0.4507467994310099
37732_CRYPTO_sum.txt,12,0.42857142857142855,0.4054054054054054,0.41698841698841693
38664_CRYPTO_sum.txt,12,0.3,0.4054054054054054,0.35270270270270265
47470_CRYPTO_sum.txt,4,0.18181818181818182,0.13513513513513511,0.15847665847665848
47839_CRYPTO_sum.txt,10,0.3125,0.33783783783783783,0.3251689189189189
48518_CRYPTO_sum.txt,7,0.18421052631578946,0.23648648648648649,0.21034850640113797
48746_CRYPTO_sum.txt,10,0.2777777777777778,0.33783783783783783,0.3078078078078078
48773_CRYPTO_sum.txt,12,0.3157894736842105,0.4054054054054054,0.36059743954480794
48854_CRYPTO_sum.txt,5,0.1282051282051282,0.16891891891891891,0.14856202356202355
48940_CRYPTO_sum.txt,6,0.16216216216216217,0.2027027027027027,0.18243243243243243
49457_CRYPTO_sum.txt,14,0.3783783783783784,0.47297297297297297,0.42567567567567566
49759_CRYPTO_sum.txt,1,0.03125,0.03378378378378378,0.032516891891891886
50333_CRYPTO_sum.txt,7,0.18421052631578946,0.23648648648648649,0.21034850640113797
50496_CRYPTO_sum.txt,2,0.07692307692307693,0.06756756756756756,0.07224532224532224
50521_CRYPTO_sum.txt,6,0.14634146341463414,0.2027027027027027,0.1745220830586684
50879_CRYPTO_sum.txt,6,0.13333333333333333,0.2027027027027027,0.16801801801801802
50901_CRYPTO_sum.txt,1,0.02127659574468085,0.03378378378378378,0.027530189764232313
50909_CRYPTO_sum.txt,6,0.15789473684210525,0.2027027027027027,0.18029871977240397
50976_CRYPTO_sum.txt,7,0.21875,0.23648648648648649,0.22761824324324326
51027_CRYPTO_sum.txt,10,0.2564102564102564,0.33783783783783783,0.2971240471240471
51126_CRYPTO_sum.txt,4,0.18181818181818182,0.13513513513513511,0.15847665847665848
51721_CRYPTO_sum.txt,16,0.3902439024390244,0.5405405405405405,0.46539222148978243
52225_CRYPTO_sum.txt,7,0.20588235294117646,0.23648648648648649,0.22118441971383146
52466_CRYPTO_sum.txt,4,0.13333333333333333,0.13513513513513511,0.13423423423423422
52997_CRYPTO_sum.txt,10,0.22727272727272727,0.33783783783783783,0.28255528255528256
53249_CRYPTO_sum.txt,10,0.2702702702702703,0.33783783783783783,0.30405405405405406
53392_CRYPTO_sum.txt,5,0.17857142857142858,0.16891891891891891,0.17374517374517373
53812_CRYPTO_sum.txt,7,0.16279069767441862,0.23648648648648649,0.19963859208045254
53824_CRYPTO_sum.txt,0,0.0,0.0,0.0
53931_CRYPTO_sum.txt,1,0.02564102564102564,0.03378378378378378,0.02971240471240471
54721_CRYPTO_sum.txt,13,0.38235294117647056,0.43918918918918914,0.41077106518282985
55072_CRYPTO_sum.txt,14,0.5,0.47297297297297297,0.4864864864864865
55169_CRYPTO_sum.txt,10,0.2777777777777778,0.33783783783783783,0.3078078078078078
55342_CRYPTO_sum.txt,2,0.2222222222222222,0.06756756756756756,0.14489489489489488
